userId	movieId	rating	timestamp	title	Group_Number
177	78637	2.5	1435837464	Shrek_Forever_After_(a.k.a._Shrek:_The_Final_Chapter)_(2010)	3
514	76093	4	1533872585	How_to_Train_Your_Dragon_(2010)	1
252	78499	5	1498284330	Toy_Story_3_(2010)	2
567	76093	2.5	1525287804	How_to_Train_Your_Dragon_(2010)	1
586	81847	4.5	1529903135	Tangled_(2010)	8
50	78499	2	1514238650	Toy_Story_3_(2010)	2
328	81847	2	1494211368	Tangled_(2010)	8
562	78499	4.5	1368896472	Toy_Story_3_(2010)	2
334	76093	4	1290273727	How_to_Train_Your_Dragon_(2010)	1
292	79091	3.5	1323631972	Despicable_Me_(2010)	4
586	78499	4.5	1529903138	Toy_Story_3_(2010)	2
292	76093	4	1293562572	How_to_Train_Your_Dragon_(2010)	1
401	81847	4	1510450423	Tangled_(2010)	8
339	78499	4	1460183480	Toy_Story_3_(2010)	2
68	81847	4	1304374485	Tangled_(2010)	8
534	80615	4	1459793416	Legend_of_the_Guardians:_The_Owls_of_Ga'Hoole_(2010)	6
139	76093	2	1453924478	How_to_Train_Your_Dragon_(2010)	1
21	81564	2.5	1419794453	Megamind_(2010)	7
177	81847	5	1435525266	Tangled_(2010)	8
567	78499	2	1525288289	Toy_Story_3_(2010)	2
525	78499	3.5	1476476641	Toy_Story_3_(2010)	2
401	78499	3.5	1510449868	Toy_Story_3_(2010)	2
380	79274	5	1493421260	Batman:_Under_the_Red_Hood_(2010)	5
582	76093	4.5	1446792715	How_to_Train_Your_Dragon_(2010)	1
401	79091	3.5	1510449779	Despicable_Me_(2010)	4
318	76093	4	1333821979	How_to_Train_Your_Dragon_(2010)	1
332	78499	4	1352673722	Toy_Story_3_(2010)	2
143	81847	5	1444769058	Tangled_(2010)	8
534	79091	4.5	1459787998	Despicable_Me_(2010)	4
509	81847	4	1435994505	Tangled_(2010)	8
445	76093	3.5	1454621879	How_to_Train_Your_Dragon_(2010)	1
18	78499	4	1456744760	Toy_Story_3_(2010)	2
251	78499	5	1470676811	Toy_Story_3_(2010)	2
401	81564	4.5	1510449037	Megamind_(2010)	7
148	81847	4.5	1482549236	Tangled_(2010)	8
111	81564	2	1516141247	Megamind_(2010)	7
83	76093	2.5	1333842352	How_to_Train_Your_Dragon_(2010)	1
212	76093	2.5	1523216857	How_to_Train_Your_Dragon_(2010)	1
211	78499	4	1350913084	Toy_Story_3_(2010)	2
177	81564	4.5	1435804362	Megamind_(2010)	7
89	78637	4.5	1520408633	Shrek_Forever_After_(a.k.a._Shrek:_The_Final_Chapter)_(2010)	3
73	79091	3.5	1464197287	Despicable_Me_(2010)	4
111	79091	3.5	1516141074	Despicable_Me_(2010)	4
246	81847	5	1354125736	Tangled_(2010)	8
119	78499	3.5	1436007608	Toy_Story_3_(2010)	2
432	78499	4	1328232875	Toy_Story_3_(2010)	2
605	76093	4	1277175655	How_to_Train_Your_Dragon_(2010)	1
525	79091	3	1476477471	Despicable_Me_(2010)	4
388	78637	5	1386694309	Shrek_Forever_After_(a.k.a._Shrek:_The_Final_Chapter)_(2010)	3
596	79091	3.5	1535709685	Despicable_Me_(2010)	4
599	78499	2.5	1498516552	Toy_Story_3_(2010)	2
104	81847	4	1351209920	Tangled_(2010)	8
509	79091	3.5	1435994338	Despicable_Me_(2010)	4
426	79091	5	1451080764	Despicable_Me_(2010)	4
159	78499	5	1508640269	Toy_Story_3_(2010)	2
